CODE,SECTOR
0011,TECHNOLOGY
0017,TECHNOLOGY
0032,TECHNOLOGY
0045,CONSTRUCTION
0048,TRANSPORTATION & LOGISTICS
0070,TECHNOLOGY
0075,HEALTH CARE
0080,ENERGY
0084,ENERGY
0089,TECHNOLOGY
0092,TECHNOLOGY
0094,TECHNOLOGY
0100,TECHNOLOGY
0104,TECHNOLOGY
0109,CONSTRUCTION
0111,TECHNOLOGY
0118,PROPERTY
0123,TECHNOLOGY
0133,TECHNOLOGY
0146,TECHNOLOGY
0148,HEALTH CARE
0159,TELECOMMUNICATIONS & MEDIA
0173,TECHNOLOGY
0195,TELECOMMUNICATIONS & MEDIA
0208,TECHNOLOGY
0219,ENERGY
0240,TECHNOLOGY
0243,HEALTH CARE
0251,TECHNOLOGY
0259,TECHNOLOGY
0261,TECHNOLOGY
0277,TECHNOLOGY
0281,TECHNOLOGY
0283,HEALTH CARE
0285,FINANCIAL SERVICES
03005,HEALTH CARE
03023,HEALTH CARE
03024,TECHNOLOGY
03039,TECHNOLOGY
03045,TECHNOLOGY
03049,INDUSTRIAL PRODUCTS & SERVICES
1066,FINANCIAL SERVICES
1082,FINANCIAL SERVICES
1295,FINANCIAL SERVICES
1929,PLANTATION
1961,PLANTATION
2038,ENERGY
2089,PLANTATION
2291,PLANTATION
2445,PLANTATION
2453,REAL ESTATE INVESTMENT TRUSTS
2488,FINANCIAL SERVICES
3042,ENERGY
3158,PROPERTY
3719,INDUSTRIAL PRODUCTS & SERVICES
3794,INDUSTRIAL PRODUCTS & SERVICES
3913,PROPERTY
4502,TELECOMMUNICATIONS & MEDIA
5000,INDUSTRIAL PRODUCTS & SERVICES
5014,TRANSPORTATION & LOGISTICS
5015,CONSUMER PRODUCTS & SERVICES
5026,PLANTATION
5032,TRANSPORTATION & LOGISTICS
5069,PLANTATION
5087,INDUSTRIAL PRODUCTS & SERVICES
5090,TELECOMMUNICATIONS & MEDIA
5094,INDUSTRIAL PRODUCTS & SERVICES
5098,INDUSTRIAL PRODUCTS & SERVICES
5106,REAL ESTATE INVESTMENT TRUSTS
5109,REAL ESTATE INVESTMENT TRUSTS
5110,REAL ESTATE INVESTMENT TRUSTS
5111,REAL ESTATE INVESTMENT TRUSTS
5112,PLANTATION
5120,REAL ESTATE INVESTMENT TRUSTS
5121,REAL ESTATE INVESTMENT TRUSTS
5123,REAL ESTATE INVESTMENT TRUSTS
5126,ENERGY
5127,REAL ESTATE INVESTMENT TRUSTS
5130,REAL ESTATE INVESTMENT TRUSTS
5133,ENERGY
5135,PLANTATION
5138,PLANTATION
5139,FINANCIAL SERVICES
5149,ENERGY
5163,INDUSTRIAL PRODUCTS & SERVICES
5169,CONSTRUCTION
5175,PROPERTY
5176,REAL ESTATE INVESTMENT TRUSTS
5183,ENERGY
5185,FINANCIAL SERVICES
5186,INDUSTRIAL PRODUCTS & SERVICES
5196,CONSUMER PRODUCTS & SERVICES
5199,ENERGY
5204,TECHNOLOGY
5209,ENERGY
5212,REAL ESTATE INVESTMENT TRUSTS
5218,ENERGY
5225,HEALTH CARE
5227,REAL ESTATE INVESTMENT TRUSTS
5242,CONSUMER PRODUCTS & SERVICES
5243,ENERGY
5249,PROPERTY
5254,PLANTATION
5255,ENERGY
5256,ENERGY
5257,ENERGY
5258,FINANCIAL SERVICES
5263,CONSTRUCTION
5269,REAL ESTATE INVESTMENT TRUSTS
5272,UTILITIES
5280,REAL ESTATE INVESTMENT TRUSTS
5284,INDUSTRIAL PRODUCTS & SERVICES
5285,PLANTATION
5288,PROPERTY
5299,REAL ESTATE INVESTMENT TRUSTS
5301,TECHNOLOGY
5305,CONSUMER PRODUCTS & SERVICES
5307,REAL ESTATE INVESTMENT TRUSTS
5317,TECHNOLOGY
5665,INDUSTRIAL PRODUCTS & SERVICES
5681,ENERGY
5703,INDUSTRIAL PRODUCTS & SERVICES
5797,INDUSTRIAL PRODUCTS & SERVICES
5819,FINANCIAL SERVICES
5878,HEALTH CARE
6033,ENERGY
6084,TELECOMMUNICATIONS & MEDIA
6262,PLANTATION
6432,CONSUMER PRODUCTS & SERVICES
6483,FINANCIAL SERVICES
6742,UTILITIES
6971,TECHNOLOGY
7022,TECHNOLOGY
7033,TECHNOLOGY
7036,ENERGY
7045,ENERGY
7047,CONSTRUCTION
7050,INDUSTRIAL PRODUCTS & SERVICES
7055,INDUSTRIAL PRODUCTS & SERVICES
7077,PROPERTY
7087,TECHNOLOGY
7090,HEALTH CARE
7107,CONSUMER PRODUCTS & SERVICES
7108,ENERGY
7117,TRANSPORTATION & LOGISTICS
7148,HEALTH CARE
7172,TECHNOLOGY
7179,PROPERTY
7187,PROPERTY
7210,TRANSPORTATION & LOGISTICS
7216,CONSUMER PRODUCTS & SERVICES
7233,TECHNOLOGY
7237,UTILITIES
7251,ENERGY
7253,ENERGY
7773,INDUSTRIAL PRODUCTS & SERVICES
7803,HEALTH CARE
8125,INDUSTRIAL PRODUCTS & SERVICES
8397,TRANSPORTATION & LOGISTICS
8435,INDUSTRIAL PRODUCTS & SERVICES
8532,TECHNOLOGY
8591,CONSTRUCTION
8869,INDUSTRIAL PRODUCTS & SERVICES
9199,INDUSTRIAL PRODUCTS & SERVICES
9466,INDUSTRIAL PRODUCTS & SERVICES
9695,PLANTATION
9822,INDUSTRIAL PRODUCTS & SERVICES
9881,INDUSTRIAL PRODUCTS & SERVICES
9938,INDUSTRIAL PRODUCTS & SERVICES
